Event	Time	X	Y	POL
204	120959 ns	76	16	0
205	121178 ns	0	124	0
206	121361 ns	196	33	0
207	122348 ns	296	232	1
208	122833 ns	125	76	0
209	122955 ns	284	17	1
210	123546 ns	88	233	1
211	123804 ns	12	3	0
212	124121 ns	14	236	0
213	124743 ns	180	100	1
214	125551 ns	110	185	1
215	125729 ns	253	28	0
216	126356 ns	156	106	0
217	127104 ns	217	3	0
218	127790 ns	111	150	0
219	128549 ns	282	225	1
220	129333 ns	19	125	1
221	129998 ns	80	204	1
222	130645 ns	46	220	1
223	131619 ns	27	159	1
224	132255 ns	302	81	0
225	132446 ns	35	94	1
226	132627 ns	161	33	0
227	133426 ns	21	110	0
228	133856 ns	279	50	1
229	134043 ns	91	131	0
230	134615 ns	32	215	0
231	135056 ns	177	30	0
232	135424 ns	241	184	1
233	136328 ns	119	203	1
234	136799 ns	208	192	1
235	137529 ns	117	142	0
236	138466 ns	117	202	1
237	139012 ns	233	52	0
238	139226 ns	279	136	0
239	140189 ns	81	134	0
240	141168 ns	251	100	1
241	141360 ns	23	97	1
242	142156 ns	14	224	1
243	142268 ns	0	109	0
244	142624 ns	3	112	0
245	143232 ns	57	115	1
246	143357 ns	196	148	1
247	143701 ns	96	46	0
248	144420 ns	91	38	0
249	144632 ns	231	146	1
250	145438 ns	9	102	0
251	146041 ns	107	221	1
252	146868 ns	216	39	0
253	147000 ns	270	50	0
254	147410 ns	258	122	0
255	148036 ns	295	190	0
256	148946 ns	239	236	0
257	149853 ns	293	185	1
258	150420 ns	95	127	0
259	151001 ns	113	118	0
260	151434 ns	74	194	1
261	151606 ns	44	44	0
262	152129 ns	259	40	1
263	152993 ns	206	11	1
264	153487 ns	237	225	1
265	153817 ns	119	12	0
266	154146 ns	32	147	1
267	154353 ns	141	192	0
268	154698 ns	185	225	0
269	155020 ns	178	231	1
270	155122 ns	245	238	0
271	155911 ns	270	13	1
272	156305 ns	233	112	0
273	156503 ns	124	162	1
274	157204 ns	293	0	1
275	157740 ns	103	131	0
276	158400 ns	80	41	0
277	158579 ns	34	162	1
278	159375 ns	202	230	0
279	160339 ns	272	181	1
280	161242 ns	248	172	1
281	161473 ns	165	130	0
282	161840 ns	254	200	0
283	162105 ns	251	208	1
284	162437 ns	81	226	0
285	163361 ns	113	226	1
286	163903 ns	301	25	0
287	164069 ns	190	18	1
288	164258 ns	262	169	1
289	164530 ns	220	228	1
290	165028 ns	105	91	0
291	165626 ns	96	157	1
292	166176 ns	21	93	1
293	166545 ns	247	136	0
294	167473 ns	178	51	1
295	167878 ns	270	169	0
296	168655 ns	95	76	1
297	169516 ns	108	42	0
298	169855 ns	7	101	0
299	170014 ns	73	190	0
300	170972 ns	294	115	1
301	171134 ns	295	4	1
302	172093 ns	194	16	1
303	172488 ns	200	216	0
304	172983 ns	180	102	0
305	173217 ns	183	107	0
306	173866 ns	131	128	1
307	174377 ns	71	55	0
308	175280 ns	295	114	0
309	176032 ns	259	86	1
310	176698 ns	218	35	0
311	177604 ns	41	160	1
312	178005 ns	303	64	1
313	178971 ns	140	78	1
314	179371 ns	164	33	0
315	180275 ns	169	108	1
316	180829 ns	111	146	1
317	181673 ns	30	100	0
318	182173 ns	214	212	0
319	183062 ns	50	125	1
320	183669 ns	132	174	0
321	184454 ns	25	158	1
322	184556 ns	222	185	1
323	184853 ns	125	236	1
324	185687 ns	127	135	0
325	186558 ns	65	237	0
326	187070 ns	162	9	0
327	187338 ns	291	176	1
328	187870 ns	195	15	0
329	188215 ns	104	159	0
330	188918 ns	132	126	1
331	189188 ns	88	41	1
332	189986 ns	17	238	1
333	190543 ns	20	114	0
334	190669 ns	113	237	1
335	191254 ns	103	64	1
336	191639 ns	225	28	1
337	192349 ns	97	163	1
338	192478 ns	292	222	1
339	193178 ns	145	203	0
340	193989 ns	46	47	0
341	194560 ns	21	34	1
342	195130 ns	113	164	0
343	195449 ns	181	108	0
344	195926 ns	177	172	0
345	196219 ns	80	237	1
346	196331 ns	256	39	0
347	196454 ns	7	109	0
348	196599 ns	96	9	0
349	196945 ns	76	198	0
350	197601 ns	222	217	0
351	197919 ns	101	196	0
352	198630 ns	86	55	1
353	199089 ns	229	223	0
354	199822 ns	153	56	1
355	199933 ns	164	51	0
356	200418 ns	279	151	0
357	201124 ns	221	156	0
358	201387 ns	223	102	1
359	202367 ns	206	177	0
360	202507 ns	141	10	1
361	202770 ns	70	20	0
362	202997 ns	84	183	1
363	203955 ns	233	173	1
364	204470 ns	215	37	1
365	204757 ns	72	114	0
366	204931 ns	234	223	0
367	205808 ns	104	41	1
368	206488 ns	67	203	0
369	207048 ns	281	19	0
370	207702 ns	19	219	0
371	208352 ns	46	69	0
372	209100 ns	262	110	0
373	209325 ns	101	51	0
374	209892 ns	172	229	1
375	210597 ns	186	23	1
376	211215 ns	51	29	1
377	211621 ns	260	124	0
378	212621 ns	31	49	0
379	213546 ns	108	183	0
380	213727 ns	289	89	1
381	214272 ns	78	94	0
382	215183 ns	301	153	1
383	216170 ns	260	91	0
384	216486 ns	120	73	1
385	216912 ns	280	95	0
386	217281 ns	63	220	0
387	218162 ns	248	191	1
388	218741 ns	255	215	0
389	219510 ns	266	85	0
390	219672 ns	255	181	1
391	220288 ns	66	168	1
392	220522 ns	169	105	1
393	220709 ns	289	87	0
394	221642 ns	186	110	1
395	221817 ns	9	224	0
396	221997 ns	219	158	1
397	222422 ns	254	207	0
398	222522 ns	30	162	1
399	222852 ns	151	43	1
400	223183 ns	172	89	0
401	223897 ns	29	95	0
402	224201 ns	37	164	1
403	224965 ns	146	15	1
404	225529 ns	1	76	0
405	226518 ns	289	60	1
406	226895 ns	190	120	1
407	227030 ns	257	62	1
408	227991 ns	135	75	0
409	228106 ns	199	211	0
410	228991 ns	212	200	1
411	229479 ns	232	176	1
412	230361 ns	72	136	0
413	230757 ns	190	127	0
414	231096 ns	31	206	0
415	231470 ns	180	99	1
416	232303 ns	284	18	0
417	233077 ns	13	89	1
418	233445 ns	251	156	0
419	233897 ns	193	155	0
420	234474 ns	284	218	0
421	234723 ns	131	222	1
422	235375 ns	278	175	1
423	235934 ns	115	164	0
424	236268 ns	64	60	1
425	237077 ns	199	72	1
426	237532 ns	134	14	0
427	238112 ns	276	130	1
428	238978 ns	218	171	1
429	239367 ns	13	124	1
430	239694 ns	11	195	0
431	240070 ns	210	197	0
432	240967 ns	278	200	1
433	241244 ns	226	120	0
434	242190 ns	292	96	1
435	243027 ns	224	220	0
436	243129 ns	161	160	1
437	243842 ns	137	101	0
438	244452 ns	229	119	0
439	245030 ns	263	11	0
440	245752 ns	1	31	0
441	246714 ns	92	10	0
442	246860 ns	106	217	0
443	247642 ns	271	24	0
444	247906 ns	118	30	0
445	248789 ns	48	141	0
446	249311 ns	257	167	1
447	249532 ns	223	85	0
448	250037 ns	303	166	1
449	250413 ns	35	157	0
450	250866 ns	191	227	0
451	251252 ns	87	76	1
452	251653 ns	265	156	0
453	252060 ns	10	99	0
454	252262 ns	65	186	0
455	253112 ns	200	64	1
456	253758 ns	293	15	0
457	254517 ns	216	37	0
458	254778 ns	187	227	1
459	255489 ns	79	72	1
460	255969 ns	235	26	0
461	256208 ns	297	73	1
462	256779 ns	90	135	1
463	257661 ns	279	186	0
464	258094 ns	260	61	1
465	258374 ns	176	65	0
466	259106 ns	235	172	1
467	260057 ns	41	138	1
468	260474 ns	187	66	0
469	261367 ns	86	173	0
470	262267 ns	120	167	0
471	262632 ns	148	16	0
472	263176 ns	130	207	1
473	263874 ns	10	134	0
474	264198 ns	212	14	1
475	264955 ns	162	25	0
476	265534 ns	93	223	1
477	265667 ns	65	157	0
478	265945 ns	201	32	0
479	266064 ns	159	100	1
480	266996 ns	19	131	1
481	267760 ns	198	165	1
482	268336 ns	243	38	0
483	269324 ns	45	226	0
484	270194 ns	156	11	0
485	270942 ns	62	70	0
486	271509 ns	193	174	1
487	272080 ns	246	168	1
488	272898 ns	65	92	0
489	273581 ns	126	58	0
490	274106 ns	131	80	0
491	274815 ns	130	21	1
492	275188 ns	170	86	1
493	275848 ns	0	183	1
494	275998 ns	87	222	1
495	276896 ns	164	72	1
496	277541 ns	237	109	0
497	278429 ns	161	74	0
498	278707 ns	244	136	0
499	279139 ns	186	80	1
500	279918 ns	50	92	0
501	280640 ns	71	198	1
502	281628 ns	102	212	0
503	282343 ns	63	17	0
504	282609 ns	82	222	0
505	282973 ns	254	133	1
506	283341 ns	73	122	0
507	283491 ns	6	105	1
508	284033 ns	95	189	0
509	284212 ns	196	194	0
510	284627 ns	160	237	0
511	285148 ns	182	191	1
512	285977 ns	2	13	1
513	286587 ns	107	162	1
514	286862 ns	213	84	1
515	287531 ns	142	160	0
516	287771 ns	253	84	0
517	288740 ns	72	176	0
518	289203 ns	156	77	0
519	289418 ns	270	76	0
520	289570 ns	235	204	0
521	290326 ns	245	69	0
522	291104 ns	235	30	0
523	291655 ns	123	1	0
524	292220 ns	143	128	0
525	292755 ns	263	238	0
526	293543 ns	102	59	1
527	293783 ns	112	35	1
528	294594 ns	111	23	0
529	295168 ns	146	62	0
530	296164 ns	132	84	1
531	296840 ns	200	34	0
532	297129 ns	102	154	1
533	297591 ns	90	23	0
534	298200 ns	120	133	0
535	299189 ns	260	54	1
536	299313 ns	88	11	1
537	299876 ns	115	14	1
538	300362 ns	7	128	0
539	300598 ns	72	6	0
540	301095 ns	9	93	0
541	301493 ns	203	33	0
542	301701 ns	67	28	1
543	302305 ns	82	208	1
544	303251 ns	108	192	1
545	303542 ns	88	159	1
546	303787 ns	246	132	0
547	304189 ns	194	13	0
548	304963 ns	275	51	0
549	305190 ns	66	70	1
550	306047 ns	274	59	0
551	306852 ns	207	30	1
552	306993 ns	24	142	1
553	307308 ns	293	51	1
554	308013 ns	206	21	0
555	308233 ns	196	113	1
556	308943 ns	205	16	1
557	309102 ns	244	223	0
558	309360 ns	126	102	0
559	309804 ns	10	237	1
560	310490 ns	112	214	0
561	311413 ns	215	215	0
562	312080 ns	140	16	1
563	312239 ns	123	221	1
564	312907 ns	58	21	0
565	313464 ns	284	222	0
566	313699 ns	181	203	0
567	314341 ns	230	135	0
568	315086 ns	239	233	0
569	316017 ns	255	187	1
570	316865 ns	117	10	1
571	317777 ns	169	105	0
572	318623 ns	110	211	1
573	319508 ns	274	103	0
574	319938 ns	184	36	1
575	320540 ns	225	89	0
576	320933 ns	90	66	0
577	321245 ns	103	127	1
578	321844 ns	110	202	0
579	321985 ns	195	196	0
580	322909 ns	295	39	1
581	323614 ns	62	177	1
582	324475 ns	105	166	0
583	324956 ns	241	64	1
584	325538 ns	73	164	0
585	325876 ns	158	74	1
586	326609 ns	194	74	0
587	326921 ns	193	2	1
588	327619 ns	123	134	0
589	327844 ns	181	120	0
590	328372 ns	109	74	0
591	329091 ns	230	123	1
592	329567 ns	1	85	1
593	330127 ns	258	89	0
594	330617 ns	58	82	1
595	331520 ns	243	154	1
596	332404 ns	173	227	1
597	333311 ns	116	225	1
598	333506 ns	99	139	0
599	333608 ns	162	98	0
600	334503 ns	272	82	0
601	335015 ns	231	54	1
602	335343 ns	180	28	0
603	336181 ns	116	7	1
604	336310 ns	75	69	0
605	336427 ns	69	173	0
606	337390 ns	234	198	0
607	337993 ns	271	84	1
608	338746 ns	118	237	0
609	339072 ns	270	170	0
610	339815 ns	90	103	0
611	339995 ns	164	107	0
612	340854 ns	44	155	0
613	341834 ns	30	31	1
614	342282 ns	1	182	0
615	343119 ns	91	130	1
616	343707 ns	99	194	0
617	344116 ns	235	7	0
618	344724 ns	127	136	1
619	345387 ns	156	177	0
620	346325 ns	57	228	1
621	347269 ns	68	208	1
622	347994 ns	246	183	1
623	348241 ns	129	106	1
624	348735 ns	56	120	1
625	348879 ns	4	101	1
626	349126 ns	176	153	1
627	349715 ns	253	193	0
628	350057 ns	200	133	0
629	350249 ns	170	156	0
630	350874 ns	51	230	0
631	351770 ns	144	152	1
632	352044 ns	77	126	0
633	352619 ns	76	13	1
634	353240 ns	279	104	1
635	354071 ns	220	209	1
636	354530 ns	164	185	1
637	355334 ns	83	85	0
638	356096 ns	16	13	0
639	356299 ns	159	14	0
640	357282 ns	285	172	1
641	358012 ns	189	181	1
642	358959 ns	189	7	0
643	359300 ns	176	33	1
644	360024 ns	281	19	1
645	360731 ns	221	14	1
646	361168 ns	271	17	0
647	361479 ns	44	5	0
648	361718 ns	109	177	0
649	362224 ns	73	187	0
650	362882 ns	235	22	0
651	363043 ns	57	111	1
652	363334 ns	239	17	0
653	364159 ns	8	100	0
654	364534 ns	238	105	1
655	365413 ns	37	3	0
656	365775 ns	129	144	0
657	366331 ns	61	69	0
658	366668 ns	114	230	0
659	367626 ns	223	68	1
660	367900 ns	22	232	1
661	368755 ns	286	152	0
662	369437 ns	33	147	0
663	370361 ns	273	227	1
664	371172 ns	228	64	0
665	371502 ns	198	141	1
666	371909 ns	49	15	1
667	372298 ns	134	146	0
668	372689 ns	93	79	0
669	373599 ns	35	40	0
670	374533 ns	102	229	0
671	375474 ns	214	134	1
672	375917 ns	64	15	1
673	376775 ns	160	216	1
674	377718 ns	287	7	1
675	377866 ns	208	134	1
676	378603 ns	150	203	0
677	379287 ns	61	52	0
678	379739 ns	145	226	0
679	380730 ns	20	235	1
680	380985 ns	60	31	0
681	381340 ns	80	190	0
682	382235 ns	100	45	0
683	382797 ns	31	145	1
684	383000 ns	120	96	1
685	383654 ns	135	49	1
686	384141 ns	136	42	0
687	385127 ns	290	167	1
688	385988 ns	117	238	0
689	386095 ns	184	10	0
690	386640 ns	126	86	1
691	387555 ns	26	237	1
692	387907 ns	223	174	0
693	388606 ns	108	53	0
694	388794 ns	298	106	0
695	389525 ns	198	138	0
696	390081 ns	80	223	0
697	390588 ns	90	118	0
698	390910 ns	249	156	0
699	391350 ns	185	217	0
700	391621 ns	53	24	1
701	391773 ns	276	11	1
702	392585 ns	189	200	0
703	392876 ns	168	1	0
704	393317 ns	72	183	0
705	393551 ns	227	47	0
706	394366 ns	165	105	1
707	395079 ns	61	140	0
708	395216 ns	208	204	1
709	395640 ns	227	65	0
710	395943 ns	6	239	1
711	396392 ns	232	47	1
712	396603 ns	40	2	0
713	396760 ns	241	127	0
714	397152 ns	117	171	0
715	397994 ns	218	171	0
716	398958 ns	289	139	0
717	399617 ns	124	43	1
718	400539 ns	81	155	1
719	401124 ns	222	127	1
720	401712 ns	61	16	0
721	402696 ns	56	167	1
722	403418 ns	197	54	1
723	404015 ns	42	151	1
724	404860 ns	267	126	1
725	405630 ns	274	3	0
726	406548 ns	153	95	1
727	406920 ns	263	145	1
728	407107 ns	45	230	0
729	407679 ns	210	110	1
730	407882 ns	203	221	0
731	408284 ns	226	168	1
732	408603 ns	259	77	1
733	409587 ns	95	186	0
734	409692 ns	126	57	1
735	410512 ns	3	233	1
736	411344 ns	60	209	1
737	412241 ns	126	132	1
738	412695 ns	56	150	1
739	413335 ns	159	66	1
740	414153 ns	72	236	1
741	414965 ns	216	88	1
742	415920 ns	298	12	0
743	416133 ns	127	189	1
744	417123 ns	223	59	0
745	417410 ns	211	237	0
746	418052 ns	145	151	1
747	418232 ns	31	59	0
748	418819 ns	208	230	0
749	419125 ns	61	83	0
750	419494 ns	241	32	1
751	420022 ns	184	151	1
752	420164 ns	180	8	1
753	421109 ns	51	231	0
754	421390 ns	219	198	1
755	422030 ns	260	213	0
756	422165 ns	229	117	0
757	422684 ns	255	134	0
758	423215 ns	25	201	0
759	424161 ns	260	51	1
760	424412 ns	147	147	1
761	424752 ns	243	189	1
762	425429 ns	174	8	1
763	425668 ns	36	209	1
764	425866 ns	51	64	0
765	426137 ns	259	87	1
766	426387 ns	202	183	0
767	427160 ns	134	142	0
768	427365 ns	171	56	0
769	427511 ns	127	41	1
770	428376 ns	168	50	1
771	429165 ns	254	239	0
772	430054 ns	238	83	1
773	430856 ns	56	60	0
774	431340 ns	262	2	0
775	431548 ns	141	140	0
776	431937 ns	76	41	1
777	432345 ns	193	200	0
778	432698 ns	207	162	1
779	433291 ns	242	76	1
780	433648 ns	92	203	0
781	433933 ns	264	90	0
782	434721 ns	237	121	1
783	434882 ns	222	82	0
784	435625 ns	174	59	0
785	436518 ns	265	55	0
786	437418 ns	123	82	0
787	437744 ns	110	192	0
788	438162 ns	297	88	1
789	438949 ns	276	127	1
790	439420 ns	150	34	1
791	439552 ns	253	239	0
792	440320 ns	120	68	1
793	440800 ns	16	72	1
794	441268 ns	116	237	1
795	441571 ns	244	61	0
796	441718 ns	52	71	1
797	442425 ns	112	187	0
798	442832 ns	46	1	0
799	443747 ns	129	86	1
800	443910 ns	34	39	1
801	444083 ns	90	112	0
802	444362 ns	203	107	1
803	444887 ns	294	47	0
804	444999 ns	25	206	1
805	445403 ns	153	217	1
806	445735 ns	266	201	1
807	446722 ns	101	145	0
808	447670 ns	174	102	0
809	448166 ns	150	212	1
810	448906 ns	128	239	1
811	449877 ns	257	213	0
812	450603 ns	262	18	1
813	451270 ns	303	130	1
814	451547 ns	277	129	1
815	451896 ns	291	96	1
816	452003 ns	133	1	1
817	452595 ns	6	100	1
818	452788 ns	38	132	1
819	453038 ns	260	66	0
820	453650 ns	200	197	0
821	454499 ns	138	14	1
822	454647 ns	165	55	1
823	455333 ns	184	89	1
824	455443 ns	117	27	1
825	455720 ns	150	74	0
826	456002 ns	229	42	1
827	456324 ns	262	144	0
828	456937 ns	103	73	0
829	457208 ns	236	4	1
830	458087 ns	208	61	1
831	458810 ns	17	157	1
832	459063 ns	70	164	1
833	459307 ns	291	232	1
834	459846 ns	32	75	1
835	460696 ns	112	1	0
836	461255 ns	103	7	0
837	461971 ns	96	98	0
838	462547 ns	157	4	1
839	463546 ns	239	134	1
840	464209 ns	26	214	1
841	465071 ns	81	227	1
842	465343 ns	154	162	1
843	465561 ns	87	34	1
844	465856 ns	47	165	1
845	466155 ns	284	156	1
846	466578 ns	282	181	0
847	467164 ns	203	35	1
848	467807 ns	298	12	0
849	468074 ns	264	21	1
850	468603 ns	225	21	1
851	469299 ns	221	151	1
852	469471 ns	0	34	0
853	470109 ns	44	13	0
854	470366 ns	219	195	1
855	470568 ns	122	68	1
856	471116 ns	70	220	0
857	471873 ns	169	163	1
858	472624 ns	25	178	1
859	473147 ns	97	102	1
860	473803 ns	80	226	1
861	474456 ns	248	169	0
862	475245 ns	204	105	0
863	475727 ns	69	174	1
864	475867 ns	158	217	1
865	475999 ns	64	80	0
866	476557 ns	92	213	1
867	477146 ns	266	38	1
868	477297 ns	235	16	0
869	478127 ns	13	43	1
870	478378 ns	272	181	1
871	479034 ns	26	178	0
872	479200 ns	254	165	0
873	479773 ns	64	171	0
874	480472 ns	86	43	0
875	481254 ns	11	224	0
876	481519 ns	78	95	0
877	482454 ns	289	166	1
878	483040 ns	53	67	0
879	483405 ns	298	170	0
880	483634 ns	196	38	1
881	484531 ns	286	137	1
882	485370 ns	96	131	1
883	485608 ns	297	227	0
884	486074 ns	266	61	0
885	486221 ns	236	123	1
886	486984 ns	160	5	0
887	487235 ns	275	168	1
888	487993 ns	282	43	1
889	488378 ns	94	102	0
890	489162 ns	275	24	0
891	489438 ns	219	115	0
892	490388 ns	204	118	0
893	491357 ns	250	183	0
894	492287 ns	108	16	1
895	492833 ns	134	123	0
896	493631 ns	243	104	0
897	494171 ns	220	170	1
898	495093 ns	124	229	0
899	495237 ns	179	177	0
900	495997 ns	217	147	1
901	496971 ns	249	77	1
902	497233 ns	244	189	0
903	497368 ns	261	200	1
904	497631 ns	152	226	0
905	497770 ns	202	80	1
906	498507 ns	109	94	0
907	498983 ns	107	133	0
908	499383 ns	200	58	0
909	500175 ns	174	44	0
910	500767 ns	137	98	0
911	501596 ns	1	150	0
912	502567 ns	216	135	0
913	502893 ns	76	228	1
914	503107 ns	79	142	1
915	503629 ns	0	75	1
916	504517 ns	223	62	0
917	504772 ns	140	24	1
918	505127 ns	119	74	0
919	505969 ns	84	103	1
920	506445 ns	74	133	0
921	507395 ns	238	122	0
922	507970 ns	161	173	1
923	508262 ns	78	69	1
924	509093 ns	230	114	0
925	509256 ns	212	2	0
926	510142 ns	205	226	0
927	510976 ns	84	97	0
928	511503 ns	90	119	1
929	511660 ns	50	8	1
930	512208 ns	226	8	1
931	512985 ns	117	229	0
932	513137 ns	156	4	1
933	513265 ns	163	70	0
934	513368 ns	224	120	0
935	513583 ns	71	87	0
936	514350 ns	134	175	1
937	514755 ns	112	16	0
938	515323 ns	245	136	1
939	515536 ns	82	193	1
940	516254 ns	114	21	1
941	516641 ns	193	55	1
942	516761 ns	196	192	1
943	517672 ns	98	202	0
944	518489 ns	218	41	1
945	519027 ns	138	216	1
946	519790 ns	148	14	0
947	519954 ns	226	100	1
948	520355 ns	186	58	0
949	521301 ns	263	50	0
950	521747 ns	190	121	0
951	522338 ns	298	216	1
952	522659 ns	130	100	1
953	523303 ns	102	171	0
954	523567 ns	191	217	0
955	524438 ns	110	178	0
956	524604 ns	115	84	0
957	525206 ns	115	162	1
958	525669 ns	292	136	1
959	526659 ns	223	156	1
960	527279 ns	198	223	1
961	527546 ns	160	44	1
962	528148 ns	283	156	0
963	528977 ns	303	136	1
964	529704 ns	140	205	0
965	530202 ns	216	64	1
966	530870 ns	238	184	1
967	531139 ns	63	212	1
968	531392 ns	18	135	1
969	531498 ns	253	23	0
970	532316 ns	214	135	0
971	532418 ns	193	182	0
972	532841 ns	266	5	1
973	533321 ns	303	232	1
974	534044 ns	69	23	0
975	534316 ns	27	153	1
976	535118 ns	186	131	0
977	535593 ns	1	225	0
978	536330 ns	253	224	1
979	537061 ns	102	60	0
980	537924 ns	276	109	1
981	538459 ns	9	77	1
982	538706 ns	111	234	0
983	539250 ns	156	80	0
984	540106 ns	296	154	0
985	540724 ns	9	114	0
986	541477 ns	83	45	1
987	541757 ns	128	56	1
988	541906 ns	117	231	0
989	542708 ns	192	70	0
990	543366 ns	149	138	0
991	543568 ns	119	30	1
992	544297 ns	179	8	1
993	544601 ns	22	59	0
994	545152 ns	10	170	0
995	545772 ns	301	184	0
996	545895 ns	157	169	1
997	546806 ns	291	63	1
